Repository Name,Description,URL,Language,Stars,Forks,Created At,Updated At
Gptneo-pytorch,,https://github.com/inferless/Gptneo-pytorch,,0,0,2022-12-21T04:56:01Z,2024-09-16T21:51:55Z
Google-vit-tenserflow-template,,https://github.com/inferless/Google-vit-tenserflow-template,PureBasic,0,0,2022-12-21T06:21:16Z,2024-09-16T19:32:39Z
template-method,"GPT-Neo 125M is a transformer model designed using EleutherAI's replication of the GPT-3 architecture. GPT-Neo refers to the class of models, while 125M represents the number of parameters of this particular pre-trained model. Tag: <S3 Based>",https://github.com/inferless/template-method,Python,0,23,2023-05-09T05:02:06Z,2025-03-11T02:35:43Z
Facebook-bart-cnn,"BART model pre-trained on English language, and fine-tuned on CNN Daily Mail. It was introduced in the paper BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension by Lewis et al. and first released in [this repository (https://github.com/pytorch/fairseq/tree/master/examples/bart).",https://github.com/inferless/Facebook-bart-cnn,Python,8,3,2023-07-11T18:00:14Z,2025-04-01T17:36:30Z
vicuna-13b-8k,"A GPTQ‑quantized, 13‑billion‑parameter uncensored language model with an extended 8K context window, designed for dynamic, high‑performance conversational tasks. <metadata> gpu: T4 | collections: [""GPTQ""] </metadata>",https://github.com/inferless/vicuna-13b-8k,Python,0,1,2023-07-19T20:45:41Z,2025-03-25T07:03:25Z
Falcon-7b-template,Falcon-7B-Instruct is a 7B parameters causal decoder-only model built by TII based on Falcon-7B and finetuned on a mixture of chat/instruct datasets. It is made available under the Apache 2.0 license.,https://github.com/inferless/Falcon-7b-template,Python,0,0,2023-07-19T20:50:51Z,2025-02-03T21:49:18Z
stable-diffusion-controlnet,"This model with SD-ControlNet-Canny uses ControlNet with Canny edge maps to guide inpainting, producing consistent, detailed edits. <metadata> gpu: T4 | collections: [""Diffusers""] </metadata>",https://github.com/inferless/stable-diffusion-controlnet,Python,0,2,2023-07-19T20:52:44Z,2025-04-09T03:37:30Z
whisper-hindi-large,"Fine-tuned version of whisper-large-v2 on the Hindi data available from multiple publicly available ASR corpuses <metadata> gpu: T4 | collections: [""HF Transformers""] </metadata>",https://github.com/inferless/whisper-hindi-large,Python,0,2,2023-07-19T20:54:18Z,2025-03-25T06:51:28Z
universal-sentence-encoder-multilingual-tensorflow,"Google’s Universal Sentence Encoder Multilingual QA produces high-quality sentence embeddings optimized for cross-lingual question answering and semantic similarity tasks. <metadata> gpu: T4 | collections: [""Information Retrieval""] </metadata>",https://github.com/inferless/universal-sentence-encoder-multilingual-tensorflow,Python,0,3,2023-07-20T16:24:07Z,2025-03-25T06:50:53Z
dreamshaper,"A ControlNet model designed for Stable Diffusion, providing brightness adjustment for colorizing or recoloring images. <metadata> gpu: T4 | collections: [""Diffusers""] </metadata>",https://github.com/inferless/dreamshaper,Python,0,4,2023-07-26T18:35:56Z,2025-03-24T23:36:36Z
